molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL3347425,CHEMBL3347425,COC(=O)c1cc2cc(NCc3cc4nc[nH]c4cc3C)cnc2[nH]1,,6.78,1,6.78,6.78,IC50,B,single protein format,single_protein,9,D,2012,
CHEMBL3347426,CHEMBL3347426,COC(=O)c1cc2cc(NCc3cnc4[nH]ccc4c3)cnc2[nH]1,,6.87,1,6.87,6.87,IC50,B,single protein format,single_protein,9,D,2012,
CHEMBL3347440,CHEMBL3347440,COC(=O)c1cc2cc(NC(=O)c3cc(C)n[nH]3)cnc2[nH]1,,6.09,1,6.09,6.09,IC50,B,single protein format,single_protein,9,D,2012,
CHEMBL3347451,CHEMBL3347451,COC(=O)c1cc2cc(NCc3ccccc3Br)cnc2[nH]1,,6.88,1,6.88,6.88,IC50,B,single protein format,single_protein,9,D,2012,
CHEMBL3347452,CHEMBL3347452,COC(=O)c1cc2cc(NCc3ccccc3C)cnc2[nH]1,,7.72,1,7.72,7.72,IC50,B,single protein format,single_protein,9,D,2012,
CHEMBL3347453,CHEMBL3347453,COC(=O)c1cc2cc(NCc3ccccc3C(F)(F)F)cnc2[nH]1,,6.78,1,6.78,6.78,IC50,B,single protein format,single_protein,9,D,2012,
CHEMBL3347466,CHEMBL3347466,COC(=O)c1cc2cc(NCc3ccccc3OC)cnc2[nH]1,,6.29,1,6.29,6.29,IC50,B,single protein format,single_protein,9,D,2012,
CHEMBL3347468,CHEMBL3347468,COC(=O)c1cc2cc(NCc3c(Cl)cccc3Cl)cnc2[nH]1,,8.28,1,8.28,8.28,IC50,B,single protein format,single_protein,9,D,2012,
CHEMBL3347601,CHEMBL3347601,COC(=O)c1cc2cc(NC(=O)c3ccccc3C)cnc2[nH]1,,7.52,1,7.52,7.52,IC50,B,single protein format,single_protein,9,D,2012,
CHEMBL3347602,CHEMBL3347602,COC(=O)c1cc2cc(NC(=O)c3ccccc3C(F)(F)F)cnc2[nH]1,,6.36,1,6.36,6.36,IC50,B,single protein format,single_protein,9,D,2012,
CHEMBL3347621,CHEMBL3347621,O=C(Nc1cnc2[nH]c(Cc3ccc[nH]3)cc2c1)c1ccccc1Br,,7.07,3,6.18,7.17,IC50,B,single protein format,single_protein,9,D,2012;2013,
CHEMBL3347624,CHEMBL3347624,COC(=O)c1cc2cc(NC(=O)c3c(F)cccc3OC)cnc2[nH]1,,7.235,4,6.42,7.74,IC50,B,single protein format,single_protein,9,D,2012;2013,
CHEMBL3347636,CHEMBL3347636,COC(=O)c1cc2cc(NC(=O)c3ccccc3Br)cnc2[nH]1,,6.845,2,6.34,7.35,IC50,B,single protein format,single_protein,9,D,2012;2013,
CHEMBL3347637,CHEMBL3347637,COC(=O)c1cc2cc(NC(=O)c3c(Cl)cccc3Cl)cnc2[nH]1,,7.43,1,7.43,7.43,IC50,B,single protein format,single_protein,9,D,2012,
CHEMBL3347638,CHEMBL3347638,COC(=O)c1cc2cc(NC(=O)c3c(C)cccc3Cl)cnc2[nH]1,,7.55,1,7.55,7.55,IC50,B,single protein format,single_protein,9,D,2012,
CHEMBL3347647,CHEMBL3347647,CN(C)CCCNC(=O)c1cc2cc(NC(=O)c3ccccc3Br)cnc2[nH]1,,7.55,3,6.15,7.66,IC50,B,single protein format,single_protein,9,D,2012;2013,
CHEMBL3348923,CHEMBL3348923,C[C@@H](NC(=O)c1ncnc(N)c1Cl)c1ncc(C(=O)Nc2cc(C(F)(F)F)c(Cl)cn2)s1,TOVORAFENIB,6.3,1,6.3,6.3,Kd,B,subcellular format,other,9,D,2017,4
CHEMBL336961,CHEMBL336961,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ncccc2N1,AZAKENPAULLONE,6.2,1,6.2,6.2,Ki,F,assay format,other,8,H,,
CHEMBL3393071,CHEMBL3393071,CC(C)Sc1nc(Nc2cccc(O)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,,6.92,1,6.92,6.92,Ki,B,single protein format,single_protein,9,D,2015,
CHEMBL3394083,CHEMBL3394083,CSc1nc(Nc2cccc(O)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,,6.82,1,6.82,6.82,Ki,B,single protein format,single_protein,9,D,2015,
CHEMBL3394091,CHEMBL3394091,Oc1cccc(Nc2nc(SC3CCCC3)nc3c2cnn3CC(Cl)c2ccccc2)c1,,6.82,1,6.82,6.82,Ki,B,single protein format,single_protein,9,D,2015,
CHEMBL3394092,CHEMBL3394092,ClC(Cn1ncc2c(Nc3cccc(Br)c3)nc(SCCN3CCOCC3)nc21)c1ccccc1,,6.92,1,6.92,6.92,Ki,B,single protein format,single_protein,9,D,2015,
CHEMBL3426233,CHEMBL3426233,C=CC(=O)N1CCC(n2nc(C#Cc3cc(C(=O)Nc4ccc(CN5CCN(C)CC5)c(C(F)(F)F)c4)ccc3C)c3c(N)ncnc32)CC1,,6.88,1,6.88,6.88,IC50,B,assay format,other,8,H,2019,
CHEMBL3426891,CHEMBL3426891,CN1CCN(c2ccc(Nc3ncc(Cl)c(NC[C@H]4CCCO4)n3)cc2)CC1,,6.69,1,6.69,6.69,IC50,B,single protein format,single_protein,9,D,2015,
CHEMBL3544932,CHEMBL3544932,CCS(=O)(=O)c1cccc(-c2cc(C(=O)NC3CCN(C)CC3)c(C)c3[nH]c4ncc(C)cc4c23)c1,TAK-901,6.51,1,6.51,6.51,Kd,B,subcellular format,other,9,D,2017,1
CHEMBL3544983,CHEMBL3544983,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1,TESEVATINIB,6.04,1,6.04,6.04,Kd,B,subcellular format,other,9,D,2017,3
