molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL1079804,CHEMBL1079804,O=C(Nc1ccc(-c2ccncc2F)c(-c2ccco2)n1)C1CC1,,6.82,1,6.82,6.82,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1079894,CHEMBL1079894,C[C@H](Nc1nc(C(=O)N2CCCC2)c2sccc2n1)c1cccnc1,,6.33,1,6.33,6.33,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1080068,CHEMBL1080068,O=C(c1cccs1)c1nc(NCc2cccnc2)nc2cc(Cl)sc12,,7.21,1,7.21,7.21,IC50,F,cell-based format,cell_based,9,D,2009,
CHEMBL1080421,CHEMBL1080421,CCNc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1,,6.14,1,6.14,6.14,IC50,F,assay format,other,8,H,2015,
CHEMBL1080497,CHEMBL1080497,O=c1[nH][nH]c2nc(-c3ccco3)c(-c3ccncn3)cc12,,6.75,1,6.75,6.75,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1080512,CHEMBL1080512,c1coc(-c2nc3[nH]ccc3cc2-c2ccncn2)c1,,6.21,1,6.21,6.21,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1080513,CHEMBL1080513,O=c1[nH]c(=O)c2cc(-c3ccncn3)c(-c3ccco3)nc2[nH]1,,6.74,1,6.74,6.74,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1080676,CHEMBL1080676,O=C(Nc1ccc(-c2ccncc2)c(-c2cnco2)n1)C1CC1,,6.2,1,6.2,6.2,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1081038,CHEMBL1081038,O=C(Nc1ccc(-c2ccncc2)c(-c2ccc(F)cc2)n1)C1CC1,,7.41,1,7.41,7.41,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1081039,CHEMBL1081039,O=C(Nc1ccc(-c2ccncc2)c(-c2ccccn2)n1)C1CC1,,6.06,1,6.06,6.06,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1081041,CHEMBL1081041,O=C(Nc1ccc(-c2ccncc2)c(-c2ccncc2)n1)C1CC1,,6.79,1,6.79,6.79,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1081160,CHEMBL1081160,CN(C)c1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1,,6.5,1,6.5,6.5,IC50,F,assay format,other,8,H,2015,
CHEMBL1081811,CHEMBL1081811,CC(=O)Nc1ccc(-c2ccncc2)c(-c2ccco2)n1,,6.68,1,6.68,6.68,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1081812,CHEMBL1081812,O=C(Nc1ccc(-c2ccncc2)c(-c2ccco2)n1)C1CC1,,7.52,1,7.52,7.52,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1081971,CHEMBL1081971,O=C(Nc1ccc(-c2ccncn2)c(-c2ccco2)n1)C1CC1,,6.62,1,6.62,6.62,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1082001,CHEMBL1082001,Nc1n[nH]c2nc(-c3ccco3)c(-c3ccncn3)cc12,,6.07,1,6.07,6.07,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1082005,CHEMBL1082005,Cc1ccc(-c2nc(NC(=O)C3CC3)ccc2-c2ccncc2)o1,,7.96,1,7.96,7.96,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1082006,CHEMBL1082006,O=C(Nc1ccc(-c2ccncc2)c(-c2nccs2)n1)C1CC1,,6.52,1,6.52,6.52,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1082028,CHEMBL1082028,O=C(Nc1ccc(-c2ccncc2)c(-c2ccccc2F)n1)C1CC1,,7.21,1,7.21,7.21,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1082171,CHEMBL1082171,O=C(Nc1ccc(-c2ccncc2)c(-c2cncs2)n1)C1CC1,,6.09,1,6.09,6.09,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1082208,CHEMBL1082208,CC(=O)Nc1ccc(-c2ccncc2)c(-c2cccc(F)c2)n1,,6.54,1,6.54,6.54,Ki,B,cell-based format,cell_based,9,D,2010,
CHEMBL1086697,CHEMBL1086697,CN1CCN(C(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccc(F)cc4)c2C3=O)CC1,,7.96,1,7.96,7.96,Ki,F,assay format,other,8,H,2010,
CHEMBL1086804,CHEMBL1086804,CN1CCC(N(C)C(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1,,7.73,1,7.73,7.73,Ki,F,assay format,other,8,H,2010,
CHEMBL1086846,CHEMBL1086846,Nc1nc(-c2cccs2)c2c(n1)-c1ccccc1C2=O,,9.22,1,9.22,9.22,Ki,F,assay format,other,8,H,2010,
CHEMBL1086847,CHEMBL1086847,Nc1nc(-c2nccs2)c2c(n1)-c1ccccc1C2=O,,9.3,1,9.3,9.3,Ki,F,assay format,other,8,H,2010,
CHEMBL1086977,CHEMBL1086977,Nc1nc(-c2ccncc2)c2c(n1)-c1ccccc1C2=O,,8.34,1,8.34,8.34,Ki,F,assay format,other,8,H,2010,
CHEMBL1086978,CHEMBL1086978,COc1cccc(-c2nc(N)nc3c2C(=O)c2ccccc2-3)c1,,8.8,1,8.8,8.8,Ki,F,assay format,other,8,H,2010,
CHEMBL1087080,CHEMBL1087080,CC(C)N(CCOc1ccc2c(c1)-c1nc(N)nc(-c3ccc(F)cc3)c1C2=O)C(C)C,,7.12,1,7.12,7.12,Ki,F,assay format,other,8,H,2010,
CHEMBL1087081,CHEMBL1087081,Nc1nc(-c2ccc(F)cc2)c2c(n1)-c1cc(OCCN3CCCC3)ccc1C2=O,,6.93,1,6.93,6.93,Ki,F,assay format,other,8,H,2010,
CHEMBL1087084,CHEMBL1087084,CCN1CCN(C(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1,,7.83,1,7.83,7.83,Ki,F,assay format,other,8,H,2010,
CHEMBL1087085,CHEMBL1087085,CCN1CCN(C(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccc(F)cc4)c2C3=O)CC1,,7.49,1,7.49,7.49,Ki,F,assay format,other,8,H,2010,
CHEMBL1087086,CHEMBL1087086,CC(C)N1CCN(C(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1,,7.68,1,7.68,7.68,Ki,F,assay format,other,8,H,2010,
CHEMBL1087183,CHEMBL1087183,CC(C)N1CCC(NC(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1,,7.78,1,7.78,7.78,Ki,F,assay format,other,8,H,2010,
CHEMBL1087184,CHEMBL1087184,Nc1nc(-c2ccccc2)c2c(n1)-c1cc(C(=O)N3CCNCC3)ccc1C2=O,,7.49,1,7.49,7.49,Ki,F,assay format,other,8,H,2010,
CHEMBL1087185,CHEMBL1087185,CN1CCN(C(=O)c2ccc3c(c2)-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1,,8.09,1,8.09,8.09,Ki,F,assay format,other,8,H,2010,
CHEMBL3217142,CHEMBL1087189,Nc1nc(-c2ccccc2)c2c(n1)-c1cc(CN3CCCC3)ccc1C2=O,,8.39,2,8.39,8.39,Ki,F,assay format,other,8;9,D;H,2010;2012,
CHEMBL1087462,CHEMBL1087462,Nc1nc(-c2ccccc2)c2c(n1)-c1c(CN3CCOCC3)cccc1C2=O,,8.48,1,8.48,8.48,Ki,F,assay format,other,8,H,2010,
CHEMBL1087463,CHEMBL1087463,Nc1nc(-c2ccc(F)cc2)c2c(n1)-c1c(CN3CCOCC3)cccc1C2=O,,8.42,1,8.42,8.42,Ki,F,assay format,other,8,H,2010,
CHEMBL1087699,CHEMBL1087699,CN(C)CCN(C)Cc1cccc2c1-c1nc(N)nc(-c3ccccc3)c1C2=O,,7.4,1,7.4,7.4,Ki,F,assay format,other,8,H,2010,
CHEMBL1087700,CHEMBL1087700,CCN(CC)Cc1cccc2c1-c1nc(N)nc(-c3ccccc3)c1C2=O,,7.74,1,7.74,7.74,Ki,F,assay format,other,8,H,2010,
CHEMBL1087701,CHEMBL1087701,Nc1nc(-c2ccccc2)c2c(n1)-c1c(CN3CCCCC3)cccc1C2=O,,7.84,1,7.84,7.84,Ki,F,assay format,other,8,H,2010,
CHEMBL1087702,CHEMBL1087702,CN1CCN(Cc2cccc3c2-c2nc(N)nc(-c4ccccc4)c2C3=O)CC1,,7.95,1,7.95,7.95,Ki,F,assay format,other,8,H,2010,
CHEMBL1087708,CHEMBL1087708,N#Cc1cccc(-c2nc(N)nc3c2C(=O)c2cccc(CN4CCOCC4)c2-3)c1,,8.27,1,8.27,8.27,Ki,F,assay format,other,8,H,2010,
CHEMBL1087709,CHEMBL1087709,Nc1nc(-c2ccccc2)c2c(n1)-c1c(CN3CCCC3)cccc1C2=O,,8.6,1,8.6,8.6,Ki,F,assay format,other,8,H,2010,
CHEMBL1087710,CHEMBL1087710,Nc1nc(-c2ccc(F)cc2)c2c(n1)-c1c(CN3CCCC3)cccc1C2=O,,8.44,1,8.44,8.44,Ki,F,assay format,other,8,H,2010,
CHEMBL1087711,CHEMBL1087711,CC1CCC(C)N1Cc1cccc2c1-c1nc(N)nc(-c3ccccc3)c1C2=O,,7.95,1,7.95,7.95,Ki,F,assay format,other,8,H,2010,
CHEMBL1087714,CHEMBL1087714,Nc1nc(-c2ccccc2)c2c(n1)-c1cc(CNCc3ccco3)ccc1C2=O,,8.28,1,8.28,8.28,Ki,F,assay format,other,8,H,2010,
