molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL5080434,CHEMBL5080434,COc1cc(NC(=O)c2cc(=O)c3ccccc3o2)c(-c2nnn(-c3ccc(CCN4CCc5ccc(-n6ccnc6)cc5C4)cc3)n2)cc1OC,,6.4,1,6.4,6.4,IC50,B,microsome format,other,9,D,2022,,694.7520000000002,5.491700000000005,142.42999999999998,1,10,10,8,7,0.1794871794871795,0.1953168587362596
CHEMBL3109542,CHEMBL3109542,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCCCC3)C2=O)cc1,,6.35,1,6.35,6.35,IC50,B,single protein format,single_protein,8,H,2016,,393.4870000000003,3.646670000000003,74.65,2,4,5,4,2,0.391304347826087,0.8132219457984207
CHEMBL459505,CHEMBL459505,CCC(CC)C(c1ccc(Nc2nc3ccccc3s2)cc1)n1cncn1,TALAROZOLE,6.33,1,6.33,6.33,IC50,B,assay format,other,9,D,2018,2,377.51700000000005,5.6570000000000045,55.63,1,5,7,4,4,0.2857142857142857,0.45156908198845835
CHEMBL1172847,CHEMBL1172847,CC(C)=C(c1ccncc1)c1ccc(-c2ccc(O)c(O)c2)cc1,,6.33,1,6.33,6.33,IC50,B,microsome format,other,8,H,2010,,317.38800000000003,5.0015000000000045,53.35000000000001,2,3,3,3,3,0.09523809523809523,0.6682464870543546
CHEMBL1969102,CHEMBL1969102,Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cn[nH]c5)cnc(N)c34)cc2)c1,,6.32,2,6.12,6.52,IC50,B,assay format,other,9,D,2014,,440.53200000000015,5.888020000000004,108.72,4,5,4,5,5,0.041666666666666664,0.2793725288853248
CHEMBL1385840,CHEMBL1385840,CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,ERGOCORNINE,6.3,1,6.3,6.3,IC50,B,cell-based format,cell_based,8,H,,,561.6830000000002,2.040199999999999,118.21,3,6,4,7,2,0.5806451612903226,0.5260711480529344
CHEMBL5079066,CHEMBL5079066,COc1cc2c(cc1OC)CN(CCc1ccc(-n3nnc(-c4cc(OC)c(OC)cc4NC(=O)c4ccc(-n5ccnc5)cc4)n3)cc1)CC2,,6.29,1,6.29,6.29,IC50,B,microsome format,other,9,D,2022,,686.773,5.402500000000005,130.68,1,10,12,7,6,0.23684210526315788,0.17858656952456559
CHEMBL1172882,CHEMBL1172882,Oc1cccc(-c2ccc(Cc3ccncc3)cc2)c1,,6.27,1,6.27,6.27,IC50,B,microsome format,other,8,H,2010,,261.324,4.045000000000003,33.120000000000005,1,2,3,3,3,0.05555555555555555,0.7713506421123568
CHEMBL1403281,CHEMBL1403281,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,ERGOCRYPTINE,6.22,1,6.22,6.22,IC50,B,cell-based format,cell_based,8,H,,,575.7100000000002,2.4303,118.21,3,6,5,7,2,0.59375,0.5042848448513663
CHEMBL61,CHEMBL61,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,PODOFILOX,6.22,1,6.22,6.22,IC50,B,cell-based format,cell_based,8,H,,4,414.41000000000025,2.4092000000000002,92.68,1,8,4,5,2,0.4090909090909091,0.7629173210900769
CHEMBL3907374,CHEMBL3907374,Cc1ccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)cc1-c1nccs1,,6.22,1,6.22,6.22,IC50,B,tissue-based format,other,8,H,2015,,445.5480000000001,3.7829200000000025,73.14,0,6,5,5,4,0.25,0.4674365332350743
CHEMBL165,CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,RESVERATROL,6.22,1,6.22,6.22,IC50,B,cell-based format,cell_based,8,H,,3,228.247,2.9738000000000016,60.69,3,3,2,2,2,0.0,0.6923408487340214
CHEMBL5209371,CHEMBL5209371,Cc1c([C@@H](C)Nc2nnc(C)c3cnc(N4CCOCC4)cc23)cccc1C(F)(F)F,,6.19,1,6.19,6.19,IC50,B,single protein format,single_protein,9,D,2022,,431.46200000000016,4.6701400000000035,63.17,1,6,4,4,3,0.4090909090909091,0.6478368283168944
CHEMBL5873947,CHEMBL5873947,O=C1COc2cc(NCc3cccc(NC(=O)c4ccccc4Cl)c3)c(Cl)cc2N1,,6.16,1,6.16,6.16,IC50,B,single protein format,single_protein,9,D,2023,,442.3020000000001,5.188700000000002,79.46000000000001,3,4,5,4,3,0.09090909090909091,0.5083968590913772
CHEMBL60889,CHEMBL60889,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,MOSAPRIDE,6.16,1,6.16,6.16,IC50,B,cell-based format,cell_based,8,H,,3,421.9000000000002,3.0908000000000015,76.82,2,5,7,3,2,0.38095238095238093,0.6716774725066873
CHEMBL5072078,CHEMBL5072078,COc1cc2c(cc1OC)CN(CCc1ccc(-n3nnc(-c4cc(OCCc5cccnc5)ccc4NC(=O)c4cc(=O)c5ccccc5o4)n3)cc1)CC2,,6.14,1,6.14,6.14,IC50,B,microsome format,other,9,D,2022,,749.828,6.322500000000006,146.72999999999996,1,11,13,8,7,0.20930232558139536,0.1412927150083363
CHEMBL45816,CHEMBL45816,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,MIBEFRADIL,6.14,1,6.14,6.14,IC50,B,organism-based format,other,9,D,2021,4,495.6390000000002,5.270900000000005,67.45,1,5,11,4,3,0.5172413793103449,0.3671828919918632
CHEMBL1173259,CHEMBL1173259,CC(C)=C(c1ccncc1)c1ccc(-c2cccc(O)c2)cc1,,6.14,1,6.14,6.14,IC50,B,microsome format,other,8,H,2010,,301.389,5.295900000000005,33.120000000000005,1,2,3,3,3,0.09523809523809523,0.7121494703970774
CHEMBL277535,CHEMBL277535,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,BIFONAZOLE,6.1,1,6.1,6.1,IC50,B,tissue-based format,other,8,H,2015,3,310.40000000000003,5.187800000000005,17.82,0,1,4,4,4,0.045454545454545456,0.5071355444295608
CHEMBL528463,CHEMBL528463,CC(=O)c1ccc(-n2ccnc2)cc1,,6.1,1,6.1,6.1,IC50,B,single protein format,single_protein,8,H,2015,,186.214,2.0749,34.89,0,2,2,2,2,0.09090909090909091,0.6728072862506242
CHEMBL934,CHEMBL934,CC(C)(C(=O)c1cccnc1)c1cccnc1,METYRAPONE,6.1,1,6.1,6.1,IC50,B,cell-based format,cell_based,8,H,,4,226.279,2.637100000000001,42.85,0,3,3,2,2,0.21428571428571427,0.755476256361758
CHEMBL3961189,CHEMBL3961189,C=CN(C=N)C(c1ccccc1)c1ccc(-c2ccccc2)cc1,,6.1,1,6.1,6.1,IC50,B,single protein format,single_protein,8,H,2015,,312.416,5.495570000000004,27.090000000000003,1,1,6,3,3,0.045454545454545456,0.4723151398549534
CHEMBL5081940,CHEMBL5081940,COc1cc(NC(=O)c2cnc3ccccc3c2)c(-c2nnn(-c3ccc(CCN4CCc5cnccc5C4)cc3)n2)cc1OCc1ccccc1,,6.07,1,6.07,6.07,IC50,B,microsome format,other,9,D,2022,,688.7920000000001,6.713200000000007,120.18,1,9,11,8,7,0.17073170731707318,0.15810098462052996
