molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL255862,CHEMBL255862,CC#CCn1c(N2CCCC(N)C2)nc2c(OC)nn(Cc3nc(C)cc4ccccc34)c(=O)c21,,7.72,1,7.72,7.72,IC50,B,cell-based format,cell_based,9,D,2008,,471.5650000000002,2.45732,104.09,1,7,5,5,4,0.38461538461538464,0.4460032311753465
CHEMBL4871197,CHEMBL4871197,CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2cccc(C(=O)N3CCC[C@@H]3C(=O)O)c2)c1=O,,7.72,1,7.72,7.72,IC50,B,single protein format,single_protein,9,D,2021,,493.5640000000003,0.6983000000000021,130.87,2,6,6,4,2,0.46153846153846156,0.5665442128901284
CHEMBL1271270,CHEMBL1271270,COc1ccccc1-c1cn2c(-c3c(Cl)cc(Cl)cc3Cl)c(CN)c(C)nc2n1,,7.72,1,7.72,7.72,Ki,B,single protein format,single_protein,9,D,2010,,447.75300000000016,5.799220000000004,65.44,1,4,4,4,4,0.14285714285714285,0.42924550021399555
CHEMBL224346,CHEMBL224346,O=C([C@@H]1C[C@H](Nc2ccc([N+](=O)[O-])cc2)CN1)N1CCSC1,,7.72,1,7.72,7.72,IC50,B,cell-free format,other,9,D,2007,,322.3900000000001,1.2700999999999998,87.50999999999999,2,6,4,3,1,0.5,0.6410694591967778
CHEMBL227089,CHEMBL227089,COc1cc2nc(N3CCC[C@@H](N)C3)n(Cc3ccccc3C#N)c(=O)c2cc1OC,,7.72,1,7.72,7.72,IC50,B,single protein format,single_protein,9,D,2007,,419.4850000000002,2.2611799999999995,106.39999999999999,1,7,5,4,3,0.34782608695652173,0.6759581361044564
CHEMBL2086600,CHEMBL2086600,NC(=O)[C@@H]1CCCN1C(=O)CCCNC(=O)c1ccc(C(F)(F)F)cc1,,7.72,1,7.72,7.72,IC50,B,assay format,other,9,D,2012,,371.359,1.6916999999999993,92.5,2,3,6,2,1,0.47058823529411764,0.7456260408942659
CHEMBL390886,CHEMBL390886,C[C@@H]1C(=O)N(CC(F)(F)F)CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,,7.72,1,7.72,7.72,IC50,B,single protein format,single_protein,8,H,2007,,425.37300000000005,2.3755000000000006,66.64,1,3,5,2,1,0.5555555555555556,0.5820898028258464
CHEMBL1085074,CHEMBL1085074,CC(C)(CC(=O)N1CCCCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,,7.71,2,7.57,7.85,IC50,B,single protein format,single_protein,8,H,2010,,338.427,1.2197799999999999,76.44,1,4,5,2,0,0.8235294117647058,0.8176479315893198
CHEMBL2418624,CHEMBL3040799,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2cn(Cc3ccccc3F)nn2)cc1,,7.71,1,7.71,7.71,IC50,B,single protein format,single_protein,9,D,2013,,418.4760000000001,2.5168800000000005,100.83000000000001,1,5,6,4,3,0.30434782608695654,0.662913038436448
CHEMBL4246674,CHEMBL4246674,CC(C)=CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1ccccc1C#N)c(=O)n2C,,7.71,1,7.71,7.71,IC50,B,single protein format,single_protein,9,D,2018,,447.54300000000023,1.7103799999999996,114.87,1,6,5,4,3,0.4166666666666667,0.5956550099279512
