molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase,mw,clogp,tpsa,hbd,hba,rotb,n_rings,n_arom_rings,fsp3,qed
CHEMBL5914656,CHEMBL5914656,NC1(C(=O)N[C@@H](CCCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,,8.35,1,8.35,8.35,IC50,B,single protein format,single_protein,8,H,2016,,442.95100000000025,2.5390000000000006,120.16,4,6,7,4,3,0.4090909090909091,0.44597504506952457
CHEMBL379209,CHEMBL379209,N#Cc1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2cnccc2c1,,8.34,1,8.34,8.34,IC50,B,single protein format,single_protein,9,D,2006,,419.4880000000001,4.598580000000002,100.61,2,5,6,5,5,0.11538461538461539,0.41891331140440274
CHEMBL3701718,CHEMBL3701718,CC1(O)CC(N)(c2ccc(-c3nc4n(c3-c3ccccc3)COc3cccc(F)c3-4)cc2)C1,,8.34,2,8.34,8.34,IC50,B,cell-based format,cell_based,8;9,D;H,2014,,441.5060000000002,5.071900000000004,73.3,2,4,3,6,4,0.2222222222222222,0.46549623790543015
CHEMBL5712042,CHEMBL5712042,C=CC(=O)Nc1cccc(C(=O)NC2CCN(Cc3ccc(-c4nc5cc[nH]c(=O)c5cc4-c4ccccc4)cc3)CC2)c1,,8.34,7,6.28,8.82,IC50;Kd;Ki,B,cell-based format;single protein format,mixed,8;9,D;H,2019;2020,,583.6920000000001,5.776000000000005,107.19,3,5,8,6,5,0.16666666666666666,0.20100535426169494
CHEMBL4866810,CHEMBL5028665,Cn1nccc1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2cc(F)cc(F)c2)c(F)c1,,8.34,1,8.34,8.34,IC50,B,cell-based format,cell_based,9,D,2021,,414.43100000000004,3.379900000000002,58.95,2,3,4,4,3,0.2727272727272727,0.6883069589354837
CHEMBL4163627,CHEMBL4163627,CCOC(=O)c1c(C)nc(NNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)nc1-c1ccccc1,,8.33,1,8.33,8.33,IC50,B,single protein format,single_protein,9,D,2017,,493.52300000000025,4.380320000000003,126.06999999999998,3,7,6,5,5,0.10714285714285714,0.1820282726196667
CHEMBL3640732,CHEMBL3640732,Nc1ncccc1-c1nc2ccc(-c3cccc(NC(=O)C4CC4)c3)nc2n1-c1ccc(C2(N)CCC2)cc1,,8.33,4,8.15,8.51,IC50;Kd,B,single protein format,single_protein,8;9,D;H,2013,,515.6210000000004,5.4181000000000035,124.74,3,6,6,7,5,0.22580645161290322,0.27738682242186435
CHEMBL1684800,CHEMBL1684800,COc1ccc(Cn2ncc(NC(=O)c3cc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)c2N)cc1,,8.33,1,8.33,8.33,IC50,B,assay format,other,9,D,2011,,572.975,6.399120000000004,123.3,4,5,7,4,4,0.14814814814814814,0.20400897061303122
CHEMBL3900512,CHEMBL3900512,CN(C)CCn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2C2CC2)CC1,,8.32,2,8.32,8.32,IC50,B,single protein format,single_protein,8,H,2015,,517.5750000000003,4.9032000000000036,76.10000000000001,1,6,7,5,3,0.5,0.4494562625814655
CHEMBL3935483,CHEMBL3935483,CCc1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(OC)c3)cn2CCN2CCC2)CC1,,8.32,2,8.32,8.32,IC50,B,single protein format,single_protein,8,H,2015,,479.6040000000004,3.722100000000003,85.33,1,7,8,5,3,0.5,0.5270034660151766
