molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,pref_name,pchembl_median,pchembl_n,pchembl_min,pchembl_max,standard_types,assay_types,bao_labels,evidence_level,assay_confidence_scores,assay_relationship_types,document_years,max_phase
CHEMBL1642160,CHEMBL1642160,CC(C)S(=O)(=O)N[C@H]1Cc2ccc(Cn3cc(CO)c(C(F)(F)F)c3)cc2C1,,6.1,1,6.1,6.1,EC50,B,single protein format,single_protein,8,H,2011,
CHEMBL1642161,CHEMBL1642161,CC(C)S(=O)(=O)N[C@@H]1Cc2ccc(Cn3cc(CO)c(C(F)(F)F)n3)cc2C1,,6.4,1,6.4,6.4,EC50,B,single protein format,single_protein,8,H,2011,
CHEMBL1642165,CHEMBL1642165,CN(C)S(=O)(=O)N[C@@H]1Cc2ccc(Cn3cc(CO)c(C(F)(F)F)n3)cc2C1,,6.0,1,6.0,6.0,EC50,B,single protein format,single_protein,8,H,2011,
CHEMBL1642166,CHEMBL1642166,CCS(=O)(=O)N[C@H]1Cc2ccc(Cn3cc(CO)c(C(F)(F)F)n3)cc2C1,,6.4,1,6.4,6.4,EC50,B,single protein format,single_protein,8,H,2011,
CHEMBL1642168,CHEMBL1642168,CC(C)S(=O)(=O)NC1CCc2cc(Cn3cc(CO)c(C(F)(F)F)n3)ccc21,,7.0,1,7.0,7.0,EC50,B,single protein format,single_protein,8,H,2011,
CHEMBL1642169,CHEMBL1642169,O=S(=O)(NC1CCc2cc(Cn3cc(CO)c(C(F)(F)F)n3)ccc21)C1CC1,,6.8,1,6.8,6.8,EC50,B,single protein format,single_protein,8,H,2011,
CHEMBL1642170,CHEMBL1642170,CS(=O)(=O)NC1CCc2cc(Cn3cc(CO)c(C(F)(F)F)n3)ccc21,,6.3,1,6.3,6.3,EC50,B,single protein format,single_protein,8,H,2011,
CHEMBL1649670,CHEMBL1649670,O=C1CCCN1Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1,,6.0,1,6.0,6.0,EC50,B,cell-based format,cell_based,9,D,2011,
CHEMBL1649674,CHEMBL1649674,O=C1CCCN1Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1F,,6.0,1,6.0,6.0,EC50,B,cell-based format,cell_based,9,D,2011,
CHEMBL2092841,CHEMBL2092841,O=C(O)C1Cc2c(O)noc2CN1,,6.31,1,6.31,6.31,Ki,B,single protein format,single_protein,8,H,2010,
CHEMBL213197,CHEMBL213197,CSc1sc(C(=O)O)c(-c2ccc(C(C)(C)C)cc2)c1C#N,,6.76,2,6.51,7.01,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL214599,CHEMBL214599,CCc1c(C#N)c(-c2ccc(-c3ccc(F)cc3)cc2)c(C(=O)O)n1C,,6.46,1,6.46,6.46,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL214804,CHEMBL214804,CCc1c(C#N)c(-c2ccc(-c3cccc(C#N)c3)cc2)c(C(=O)O)n1C,,6.205,2,6.01,6.4,EC50,F,cell-based format,cell_based,9,D,2006,
CHEMBL214833,CHEMBL214833,CCc1sc(C(=O)O)c(-c2ccc(C(C)(C)C)cc2)c1C#N,,7.0,2,6.67,7.33,EC50,F,cell-based format,cell_based,9,D,2006,
